epoch,accuracy,loss,val_accuracy,val_loss
0,0.3353846073150635,1.5763193368911743,0.36106666922569275,1.5359108448028564
1,0.38026756048202515,1.37232506275177,0.376800000667572,1.3255031108856201
2,0.39652174711227417,1.2798570394515991,0.3935999870300293,1.281036615371704
3,0.40521737933158875,1.2199000120162964,0.41013333201408386,1.216072916984558
4,0.4109030067920685,1.1931589841842651,0.3893333375453949,1.1964330673217773
5,0.4057525098323822,1.184191107749939,0.4029333293437958,1.1886404752731323
6,0.41578593850135803,1.1745150089263916,0.41546666622161865,1.1646301746368408
7,0.4204682409763336,1.1530206203460693,0.4007999897003174,1.1804043054580688
8,0.40789297223091125,1.1554924249649048,0.40826666355133057,1.148192048072815
9,0.42354515194892883,1.1383843421936035,0.431466668844223,1.136340856552124
10,0.41484948992729187,1.1404112577438354,0.4013333320617676,1.1808435916900635
11,0.4128428101539612,1.138536810874939,0.40639999508857727,1.1714308261871338
12,0.4139130413532257,1.1249130964279175,0.4298666715621948,1.1430482864379883
13,0.4197993278503418,1.1120365858078003,0.42160001397132874,1.127346396446228
14,0.42160534858703613,1.1086877584457397,0.42133334279060364,1.0993129014968872
15,0.41999998688697815,1.1089706420898438,0.41999998688697815,1.0884491205215454
16,0.4229431450366974,1.0921307802200317,0.41946667432785034,1.0801726579666138
17,0.4299665689468384,1.0877165794372559,0.42879998683929443,1.0886694192886353
18,0.42187291383743286,1.096365213394165,0.41200000047683716,1.1118494272232056
19,0.42421403527259827,1.0779362916946411,0.4042666554450989,1.100000262260437
