epoch,accuracy,loss,val_accuracy,val_loss
0,0.24120400846004486,2.2865071296691895,0.3186666667461395,2.1574416160583496
1,0.33672240376472473,1.6254938840866089,0.36933332681655884,1.5892620086669922
2,0.3715050220489502,1.4137715101242065,0.4013333320617676,1.3336248397827148
3,0.3890969753265381,1.2623804807662964,0.40933331847190857,1.253503441810608
4,0.40555185079574585,1.2183798551559448,0.4320000112056732,1.1682437658309937
5,0.40829432010650635,1.1953306198120117,0.42266666889190674,1.1829850673675537
6,0.41531771421432495,1.1671736240386963,0.41946667432785034,1.1763346195220947
7,0.40949833393096924,1.166191816329956,0.41546666622161865,1.2030324935913086
8,0.41571906208992004,1.1609734296798706,0.42186665534973145,1.1645694971084595
9,0.4120401442050934,1.1538468599319458,0.40533334016799927,1.1672558784484863
10,0.41257524490356445,1.147486686706543,0.3944000005722046,1.1575566530227661
11,0.41959866881370544,1.141029715538025,0.40986666083335876,1.1306397914886475
12,0.4230100214481354,1.1334425210952759,0.3989333212375641,1.1594125032424927
13,0.4139130413532257,1.1392136812210083,0.42746666073799133,1.1234941482543945
14,0.42274248600006104,1.1244553327560425,0.40986666083335876,1.1484097242355347
15,0.4248160421848297,1.1354594230651855,0.42373332381248474,1.1267470121383667
16,0.43170568346977234,1.1168493032455444,0.42640000581741333,1.1567966938018799
17,0.42147156596183777,1.121837854385376,0.41013333201408386,1.1092443466186523
18,0.4248160421848297,1.119537115097046,0.41146665811538696,1.133818507194519
19,0.4287625551223755,1.1090656518936157,0.42746666073799133,1.1158740520477295
